country,product,category,price_usd,units_sold,profit_usd,exchange_rate_to_usd,gdp_per_capita,population_millions
India,Smartwatch,Accessories,757.7,917,133680.51,83,2500,1400
Japan,Headphones,Accessories,794.46,190,7902.02,150,40000,125
Canada,Smartwatch,Accessories,146.21,579,13174.01,1.35,52000,38
USA,Phone,Electronics,663.09,210,38682.12,1,70000,331
USA,Smartwatch,Accessories,446.36,583,59211.86,1,70000,331
Canada,Laptop,Electronics,798.49,479,40235.65,1.35,52000,38
UK,Laptop,Electronics,364.16,846,38613.63,0.78,48000,67
India,Laptop,Electronics,313.06,496,27634.89,83,2500,1400
USA,Headphones,Accessories,893.91,769,43413.65,1,70000,331
UAE,Headphones,Accessories,321.93,239,20223.88,3.67,43000,10
France,Phone,Electronics,235.52,236,3506.58,0.92,45000,65
UAE,Phone,Electronics,131,666,24340.14,3.67,43000,10
USA,Headphones,Accessories,359.98,153,4517.85,1,70000,331
UAE,Laptop,Electronics,517.56,703,86452.12,3.67,43000,10
India,Laptop,Electronics,881.62,298,28544.6,83,2500,1400
Germany,Smartwatch,Accessories,228.61,560,17873.54,0.92,52000,83
France,Tablet,Electronics,799.11,620,33964.99,0.92,45000,65
UK,Laptop,Electronics,53.26,421,2404.37,0.78,48000,67
India,Laptop,Electronics,959.66,680,94234.06,83,2500,1400
UAE,Tablet,Electronics,504.27,471,56065.67,3.67,43000,10
Australia,Tablet,Electronics,127.19,692,14045.08,1.5,55000,26
UAE,Phone,Electronics,800.65,752,153374.86,3.67,43000,10
India,Headphones,Accessories,107.8,966,6559.94,83,2500,1400
USA,Tablet,Electronics,937.38,945,124777.29,1,70000,331
Canada,Headphones,Accessories,413.11,394,30051.74,1.35,52000,38
Japan,Smartwatch,Accessories,862.41,179,15643.27,150,40000,125
France,Headphones,Accessories,605.26,63,10550.54,0.92,45000,65
Canada,Tablet,Electronics,655.01,164,31877.43,1.35,52000,38
Germany,Smartwatch,Accessories,465.89,512,16823.25,0.92,52000,83
France,Phone,Electronics,455.57,742,71630.17,0.92,45000,65
Australia,Laptop,Electronics,557.08,356,48069.5,1.5,55000,26
USA,Tablet,Electronics,81.13,780,7861.36,1,70000,331
USA,Tablet,Electronics,953.46,489,78685.99,1,70000,331
Germany,Headphones,Accessories,899.38,738,49300.03,0.92,52000,83
Germany,Phone,Electronics,263.68,261,11738.72,0.92,52000,83
India,Headphones,Accessories,197.04,573,18462.38,83,2500,1400
India,Smartwatch,Accessories,532.74,999,146904.82,83,2500,1400
Australia,Tablet,Electronics,550.09,110,15272.64,1.5,55000,26
France,Laptop,Electronics,616.99,847,111374.4,0.92,45000,65
Brazil,Tablet,Electronics,76.19,371,8314.81,5.1,9000,213
Germany,Laptop,Electronics,288.45,109,6842.65,0.92,52000,83
UAE,Phone,Electronics,753.94,161,12465.48,3.67,43000,10
Japan,Phone,Electronics,548.11,523,28554.4,150,40000,125
Australia,Phone,Electronics,116.49,851,15870.04,1.5,55000,26
India,Smartwatch,Accessories,449.84,983,94856.11,83,2500,1400
Japan,Phone,Electronics,850.36,491,106997.89,150,40000,125
UK,Phone,Electronics,819.05,991,183481.69,0.78,48000,67
UK,Phone,Electronics,737.31,545,87445.66,0.78,48000,67
UK,Phone,Electronics,466.5,985,119634.54,0.78,48000,67
India,Headphones,Accessories,713.95,581,100328.62,83,2500,1400
USA,Laptop,Electronics,386.33,577,35734.98,1,70000,331
USA,Phone,Electronics,712.8,992,113219.85,1,70000,331
USA,Phone,Electronics,890.72,367,97603.66,1,70000,331
UAE,Tablet,Electronics,804.32,407,51734.09,3.67,43000,10
Brazil,Smartwatch,Accessories,546.99,710,29901.39,5.1,9000,213
USA,Phone,Electronics,250.97,770,38605.06,1,70000,331
USA,Phone,Electronics,491.99,899,45813.75,1,70000,331
France,Laptop,Electronics,587.91,288,39278.91,0.92,45000,65
USA,Laptop,Electronics,786.86,428,44520.35,1,70000,331
UAE,Laptop,Electronics,679.5,703,91856.58,3.67,43000,10
Brazil,Phone,Electronics,256.35,67,2263.31,5.1,9000,213
UAE,Laptop,Electronics,141.97,141,5831.86,3.67,43000,10
France,Laptop,Electronics,308.35,460,25770.27,0.92,45000,65
Brazil,Headphones,Accessories,82.73,670,5391.38,5.1,9000,213
Brazil,Headphones,Accessories,167.33,324,9548.9,5.1,9000,213
UK,Phone,Electronics,760.05,80,12038.63,0.78,48000,67
Brazil,Headphones,Accessories,119.56,544,5177.34,5.1,9000,213
India,Phone,Electronics,742.76,917,45185.91,83,2500,1400
Germany,Tablet,Electronics,427.94,571,64457.06,0.92,52000,83
Australia,Headphones,Accessories,351.4,658,66165.67,1.5,55000,26
UAE,Headphones,Accessories,462.91,161,6798.97,3.67,43000,10
UAE,Laptop,Electronics,401.37,740,82064.12,3.67,43000,10
India,Headphones,Accessories,511.92,146,15552.11,83,2500,1400
UK,Phone,Electronics,594.32,931,139131.23,0.78,48000,67
UK,Phone,Electronics,290.8,332,15836.8,0.78,48000,67
Australia,Laptop,Electronics,350.83,442,27325.74,1.5,55000,26
Germany,Laptop,Electronics,521.65,525,62840.21,0.92,52000,83
UAE,Laptop,Electronics,469.38,377,18145.1,3.67,43000,10
France,Laptop,Electronics,691.84,965,160624.82,0.92,45000,65
UK,Smartwatch,Accessories,854.57,244,53127.36,0.78,48000,67
India,Tablet,Electronics,992.52,148,20657.28,83,2500,1400
Australia,Smartwatch,Accessories,582.49,268,20480.65,1.5,55000,26
UK,Smartwatch,Accessories,978.2,752,175245.04,0.78,48000,67
Australia,Smartwatch,Accessories,397.94,971,42786.83,1.5,55000,26
UAE,Phone,Electronics,470.17,99,3276.21,3.67,43000,10
Germany,Laptop,Electronics,935.72,506,83953.69,0.92,52000,83
France,Tablet,Electronics,227.94,925,13954.63,0.92,45000,65
UK,Laptop,Electronics,165.88,955,19197.03,0.78,48000,67
India,Tablet,Electronics,559.62,499,64303.26,83,2500,1400
Germany,Phone,Electronics,790.02,777,41336.16,0.92,52000,83
India,Tablet,Electronics,630.84,513,74613.66,83,2500,1400
France,Phone,Electronics,704.49,787,157010.43,0.92,45000,65
Japan,Headphones,Accessories,681.87,672,77799.45,150,40000,125
UAE,Phone,Electronics,409.08,954,30815.73,3.67,43000,10
India,Headphones,Accessories,668.35,329,21237.88,83,2500,1400
Germany,Phone,Electronics,676.47,972,43360.37,0.92,52000,83
UAE,Headphones,Accessories,101.6,139,4149.07,3.67,43000,10
France,Phone,Electronics,145.73,907,31056.17,0.92,45000,65
Japan,Phone,Electronics,642.33,574,72626.68,150,40000,125
Germany,Tablet,Electronics,646.93,905,155242.21,0.92,52000,83
Brazil,Smartwatch,Accessories,225.87,810,34393.65,5.1,9000,213
UK,Headphones,Accessories,301.4,671,20492.84,0.78,48000,67
USA,Smartwatch,Accessories,75.04,694,10689.42,1,70000,331
France,Laptop,Electronics,871.6,400,55252.82,0.92,45000,65
USA,Tablet,Electronics,641.37,975,110028.73,1,70000,331
Japan,Tablet,Electronics,968.56,187,24444.87,150,40000,125
Brazil,Laptop,Electronics,999.04,445,94417.69,5.1,9000,213
Australia,Smartwatch,Accessories,994.47,843,62811.99,1.5,55000,26
USA,Headphones,Accessories,282.4,505,10194.56,1,70000,331
India,Tablet,Electronics,757.53,540,97331.59,83,2500,1400
USA,Phone,Electronics,700.66,998,135115.32,1,70000,331
Canada,Laptop,Electronics,884.64,554,64764.51,1.35,52000,38
Japan,Tablet,Electronics,172.59,715,10342.27,150,40000,125
India,Tablet,Electronics,912.3,480,106526.72,83,2500,1400
Brazil,Tablet,Electronics,206.13,881,29987.05,5.1,9000,213
Germany,Headphones,Accessories,733.96,129,10516.5,0.92,52000,83
Japan,Headphones,Accessories,713.86,50,1949.98,150,40000,125
India,Headphones,Accessories,366,362,16220.91,83,2500,1400
Brazil,Smartwatch,Accessories,551.98,155,17846.37,5.1,9000,213
Japan,Phone,Electronics,410,118,11383.41,150,40000,125
Australia,Smartwatch,Accessories,605.18,687,32155.27,1.5,55000,26
France,Laptop,Electronics,688.99,377,74965.45,0.92,45000,65
Canada,Smartwatch,Accessories,195.24,546,31886.49,1.35,52000,38
Australia,Smartwatch,Accessories,895.48,820,205561.98,1.5,55000,26
Germany,Phone,Electronics,795.12,895,87278.46,0.92,52000,83
USA,Smartwatch,Accessories,807.75,573,126155.61,1,70000,331
Canada,Tablet,Electronics,550.35,461,31455.07,1.35,52000,38
Brazil,Smartwatch,Accessories,151.39,112,1453.34,5.1,9000,213
UK,Headphones,Accessories,146.65,595,12283.98,0.78,48000,67
UK,Headphones,Accessories,252.59,139,4267.7,0.78,48000,67
USA,Laptop,Electronics,947.48,979,222503.13,1,70000,331
Germany,Headphones,Accessories,621.43,102,18227.71,0.92,52000,83
Japan,Headphones,Accessories,781.38,545,116970.19,150,40000,125
India,Tablet,Electronics,266.76,436,24436.86,83,2500,1400
Japan,Smartwatch,Accessories,328.74,126,11694.1,150,40000,125
UK,Smartwatch,Accessories,597.62,52,5748.44,0.78,48000,67
Australia,Tablet,Electronics,229.66,67,1643.88,1.5,55000,26
Canada,Laptop,Electronics,465.43,698,36210.26,1.35,52000,38
Canada,Smartwatch,Accessories,288.83,574,22858.42,1.35,52000,38
Australia,Phone,Electronics,629.43,197,23358.48,1.5,55000,26
UAE,Smartwatch,Accessories,844.7,846,106683.1,3.67,43000,10
UAE,Headphones,Accessories,799.87,956,52491.77,3.67,43000,10
Japan,Smartwatch,Accessories,469.25,419,11536.15,150,40000,125
UAE,Tablet,Electronics,276.96,928,28358.8,3.67,43000,10
India,Smartwatch,Accessories,322.63,154,5987.98,83,2500,1400
Japan,Smartwatch,Accessories,971.88,518,87702.77,150,40000,125
Brazil,Laptop,Electronics,308.9,355,6201.91,5.1,9000,213
UK,Tablet,Electronics,233.36,830,10016.34,0.78,48000,67
Germany,Tablet,Electronics,974.07,201,13696.06,0.92,52000,83
UK,Laptop,Electronics,926.77,69,12508.76,0.78,48000,67
Germany,Tablet,Electronics,683.35,581,73765.78,0.92,52000,83
Japan,Laptop,Electronics,593.14,219,33269.68,150,40000,125
Australia,Smartwatch,Accessories,607.43,855,150228.31,1.5,55000,26
Australia,Smartwatch,Accessories,242.94,939,44773.83,1.5,55000,26
UAE,Phone,Electronics,570.77,116,15029.25,3.67,43000,10
Australia,Tablet,Electronics,450.4,486,43052.37,1.5,55000,26
India,Headphones,Accessories,529.03,530,79786.41,83,2500,1400
Germany,Smartwatch,Accessories,236.25,880,21908.24,0.92,52000,83
India,Phone,Electronics,813.36,262,39515.57,83,2500,1400
USA,Phone,Electronics,224.46,760,50926.99,1,70000,331
Japan,Tablet,Electronics,90.6,735,18792.25,150,40000,125
France,Phone,Electronics,998.88,142,33529.07,0.92,45000,65
Australia,Tablet,Electronics,342.3,468,23693.15,1.5,55000,26
India,Tablet,Electronics,173.68,664,30855.15,83,2500,1400
Germany,Smartwatch,Accessories,640.25,293,10594.43,0.92,52000,83
Japan,Phone,Electronics,271.25,925,39347.78,150,40000,125
Canada,Smartwatch,Accessories,227.97,731,31126.22,1.35,52000,38
UK,Tablet,Electronics,62.78,986,15934.47,0.78,48000,67
USA,Smartwatch,Accessories,478.24,455,46398.92,1,70000,331
Australia,Smartwatch,Accessories,996.08,757,146462.81,1.5,55000,26
Australia,Headphones,Accessories,517.77,442,51738.95,1.5,55000,26
Australia,Tablet,Electronics,604.24,620,43976.69,1.5,55000,26
USA,Headphones,Accessories,942.56,215,29050.75,1,70000,331
Brazil,Laptop,Electronics,268.49,168,3241.72,5.1,9000,213
UAE,Smartwatch,Accessories,177.11,702,16473.21,3.67,43000,10
Brazil,Phone,Electronics,347.03,581,39615.07,5.1,9000,213
France,Laptop,Electronics,487.4,935,119013.26,0.92,45000,65
Canada,Smartwatch,Accessories,825.07,797,68215.75,1.35,52000,38
Japan,Phone,Electronics,888.72,592,52444.15,150,40000,125
Japan,Laptop,Electronics,299.34,644,50100.62,150,40000,125
France,Laptop,Electronics,676.7,176,6232.71,0.92,45000,65
USA,Phone,Electronics,484.28,679,78797,1,70000,331
UAE,Phone,Electronics,440.93,218,19089.26,3.67,43000,10
UK,Smartwatch,Accessories,992.6,460,60131.93,0.78,48000,67
Canada,Headphones,Accessories,147.29,805,12840.98,1.35,52000,38
UAE,Laptop,Electronics,146.49,309,6824.02,3.67,43000,10
UK,Smartwatch,Accessories,627.9,377,23159.9,0.78,48000,67
Japan,Phone,Electronics,609.35,485,28332.4,150,40000,125
UK,Tablet,Electronics,963.7,700,167313.66,0.78,48000,67
USA,Headphones,Accessories,213.15,134,2535.6,1,70000,331
UK,Laptop,Electronics,486.63,762,57813.62,0.78,48000,67
Canada,Phone,Electronics,252.19,676,41600.41,1.35,52000,38
UAE,Phone,Electronics,201.36,297,11449.11,3.67,43000,10
Japan,Tablet,Electronics,600.59,294,50650.08,150,40000,125
Germany,Phone,Electronics,787.26,868,144180.68,0.92,52000,83
Canada,Tablet,Electronics,207.65,911,51907.74,1.35,52000,38
Brazil,Laptop,Electronics,530.24,88,7863.95,5.1,9000,213
Canada,Phone,Electronics,142.39,206,7514.43,1.35,52000,38
Canada,Laptop,Electronics,207.92,586,23221.52,1.35,52000,38
Brazil,Phone,Electronics,739.72,301,12679.14,5.1,9000,213
India,Laptop,Electronics,839,705,138429.32,83,2500,1400
UAE,Laptop,Electronics,550.56,203,14119.46,3.67,43000,10
India,Headphones,Accessories,910.46,571,43879.21,83,2500,1400
Canada,Headphones,Accessories,890.7,59,13889.08,1.35,52000,38
UAE,Phone,Electronics,441.03,316,20629.77,3.67,43000,10
USA,Phone,Electronics,133.5,147,5023.67,1,70000,331
UK,Laptop,Electronics,961.4,317,86105.69,0.78,48000,67
UK,Phone,Electronics,712.71,540,25462.46,0.78,48000,67
India,Headphones,Accessories,804.3,697,55758.29,83,2500,1400
USA,Laptop,Electronics,731.61,666,107802.08,1,70000,331
Japan,Tablet,Electronics,984.19,556,112768.95,150,40000,125
Japan,Headphones,Accessories,871.08,188,14737.24,150,40000,125
Germany,Headphones,Accessories,339.65,948,19186.27,0.92,52000,83
France,Tablet,Electronics,625.08,797,52286.77,0.92,45000,65
Australia,Headphones,Accessories,829.32,496,36501.16,1.5,55000,26
Germany,Tablet,Electronics,747.56,834,84553.9,0.92,52000,83
Canada,Tablet,Electronics,527.32,971,96534.32,1.35,52000,38
India,Laptop,Electronics,212.82,856,30184.17,83,2500,1400
Brazil,Phone,Electronics,939.9,77,12219.28,5.1,9000,213
USA,Smartwatch,Accessories,319.14,501,18418.01,1,70000,331
UAE,Laptop,Electronics,106.95,470,3131.85,3.67,43000,10
France,Smartwatch,Accessories,666.96,488,30700.04,0.92,45000,65
USA,Headphones,Accessories,185.81,462,15930.14,1,70000,331
Germany,Smartwatch,Accessories,617.34,443,14966.89,0.92,52000,83
India,Tablet,Electronics,254.93,197,8396.31,83,2500,1400
Canada,Headphones,Accessories,891.69,969,181323.54,1.35,52000,38
France,Headphones,Accessories,417.98,497,28249.85,0.92,45000,65
Germany,Phone,Electronics,288.61,279,21494.36,0.92,52000,83
Germany,Headphones,Accessories,229.66,445,15226.81,0.92,52000,83
UK,Phone,Electronics,975.6,761,164946.66,0.78,48000,67
Japan,Headphones,Accessories,185.83,799,14587.88,150,40000,125
Brazil,Headphones,Accessories,479.35,683,76856.8,5.1,9000,213
Canada,Smartwatch,Accessories,823.27,753,47945.37,1.35,52000,38
Australia,Smartwatch,Accessories,465.32,113,11933.51,1.5,55000,26
Australia,Headphones,Accessories,426.75,139,12726.93,1.5,55000,26
Australia,Tablet,Electronics,292.93,352,25271.03,1.5,55000,26
USA,Phone,Electronics,221.99,319,3848.43,1,70000,331
Japan,Smartwatch,Accessories,945.9,385,79400.59,150,40000,125
Canada,Tablet,Electronics,136.98,571,22990.65,1.35,52000,38
UK,Phone,Electronics,964.78,323,54222.73,0.78,48000,67
UK,Headphones,Accessories,617.21,266,14856.16,0.78,48000,67
Brazil,Laptop,Electronics,783.68,350,38302.67,5.1,9000,213
USA,Smartwatch,Accessories,336.56,128,8947.19,1,70000,331
UAE,Smartwatch,Accessories,411.18,782,83648.61,3.67,43000,10
Germany,Smartwatch,Accessories,74.1,979,19328.67,0.92,52000,83
France,Tablet,Electronics,498.46,757,109688.29,0.92,45000,65
UAE,Laptop,Electronics,243.45,257,13188.64,3.67,43000,10
Canada,Phone,Electronics,928.24,315,73607.52,1.35,52000,38
USA,Tablet,Electronics,611.75,709,82699.64,1,70000,331
Brazil,Phone,Electronics,162.2,859,8370.36,5.1,9000,213
Canada,Phone,Electronics,328.28,221,21438.44,1.35,52000,38
Canada,Headphones,Accessories,353.87,414,8624.08,1.35,52000,38
UAE,Tablet,Electronics,463.62,817,93026.23,3.67,43000,10
UK,Smartwatch,Accessories,510.05,470,17769.87,0.78,48000,67
India,Smartwatch,Accessories,263.87,979,70038.56,83,2500,1400
India,Headphones,Accessories,619.77,922,138032.32,83,2500,1400
Canada,Phone,Electronics,562.16,344,27548.45,1.35,52000,38
Germany,Laptop,Electronics,286.12,130,4943.03,0.92,52000,83
UK,Laptop,Electronics,493.96,297,17219.78,0.78,48000,67
UK,Smartwatch,Accessories,885.42,980,72278.68,0.78,48000,67
USA,Laptop,Electronics,578.22,310,15258.64,1,70000,331
Canada,Smartwatch,Accessories,629.27,821,137806.51,1.35,52000,38
France,Tablet,Electronics,786.46,683,135517.55,0.92,45000,65
Brazil,Headphones,Accessories,451.09,181,22961.98,5.1,9000,213
Australia,Phone,Electronics,101.69,621,17099.39,1.5,55000,26
UK,Phone,Electronics,671.87,521,62481.11,0.78,48000,67
UK,Laptop,Electronics,610.84,885,79958.54,0.78,48000,67
USA,Tablet,Electronics,424.4,363,39870.46,1,70000,331
France,Phone,Electronics,171.9,1000,51420.96,0.92,45000,65
France,Headphones,Accessories,866.67,281,71237.65,0.92,45000,65
USA,Laptop,Electronics,612.13,105,9275.93,1,70000,331
France,Laptop,Electronics,160.56,130,3320.43,0.92,45000,65
UK,Laptop,Electronics,802.37,95,7745.6,0.78,48000,67
Australia,Phone,Electronics,539.42,154,16455.73,1.5,55000,26
Japan,Headphones,Accessories,201.26,424,17811.98,150,40000,125
USA,Smartwatch,Accessories,736.84,794,173532.41,1,70000,331
Canada,Phone,Electronics,616.06,857,86792.44,1.35,52000,38
Canada,Headphones,Accessories,211.96,186,4226.99,1.35,52000,38
UAE,Phone,Electronics,323.73,205,8763.81,3.67,43000,10
Australia,Headphones,Accessories,625.46,902,96327.07,1.5,55000,26
Brazil,Smartwatch,Accessories,119.91,817,27111.33,5.1,9000,213
France,Laptop,Electronics,294.22,773,26199.77,0.92,45000,65
Brazil,Tablet,Electronics,175.18,684,7178.01,5.1,9000,213
Australia,Smartwatch,Accessories,985.33,288,72350.87,1.5,55000,26
Australia,Headphones,Accessories,872.05,304,49053.24,1.5,55000,26
Brazil,Smartwatch,Accessories,431.94,260,32716.41,5.1,9000,213
Canada,Laptop,Electronics,481.04,145,5754.49,1.35,52000,38
Canada,Phone,Electronics,602.59,899,30823.17,1.35,52000,38
Brazil,Laptop,Electronics,637.91,651,87011.8,5.1,9000,213
Australia,Laptop,Electronics,104.19,472,12533.5,1.5,55000,26
Japan,Tablet,Electronics,975.92,776,125561.12,150,40000,125
Germany,Smartwatch,Accessories,378.79,869,31680.11,0.92,52000,83
Japan,Tablet,Electronics,75.45,106,881.06,150,40000,125
Australia,Headphones,Accessories,216.68,731,14049.2,1.5,55000,26
France,Smartwatch,Accessories,811.82,470,113046.91,0.92,45000,65
Australia,Headphones,Accessories,537.77,385,27870.1,1.5,55000,26
USA,Laptop,Electronics,669.49,589,72960.65,1,70000,331
USA,Phone,Electronics,800.81,960,220411.41,1,70000,331
Germany,Smartwatch,Accessories,945.11,818,111718.83,0.92,52000,83
Canada,Tablet,Electronics,797.03,763,83817.65,1.35,52000,38
UK,Smartwatch,Accessories,991.23,995,119986.01,0.78,48000,67
Japan,Laptop,Electronics,238.48,994,35825.08,150,40000,125
UK,Laptop,Electronics,416.56,699,71751.38,0.78,48000,67
Brazil,Smartwatch,Accessories,839.44,406,34924.12,5.1,9000,213
India,Headphones,Accessories,78.02,365,4164.41,83,2500,1400
UAE,Laptop,Electronics,165.42,992,48220.78,3.67,43000,10
India,Laptop,Electronics,236.1,899,26061.46,83,2500,1400
Germany,Tablet,Electronics,928.31,906,72464.21,0.92,52000,83
USA,Headphones,Accessories,502.19,405,46380.5,1,70000,331
Canada,Phone,Electronics,459.39,797,73538.59,1.35,52000,38
Germany,Headphones,Accessories,301.37,312,7815.26,0.92,52000,83
Germany,Smartwatch,Accessories,988.12,512,104593.93,0.92,52000,83
Brazil,Smartwatch,Accessories,191.9,82,2644.81,5.1,9000,213
Australia,Smartwatch,Accessories,311.12,932,62803.34,1.5,55000,26
Japan,Laptop,Electronics,236.63,504,25645.71,150,40000,125
France,Laptop,Electronics,852.3,857,173473.67,0.92,45000,65
Germany,Smartwatch,Accessories,326.95,458,10989.55,0.92,52000,83
India,Headphones,Accessories,214.75,950,54246.11,83,2500,1400
UAE,Smartwatch,Accessories,56.31,785,13256.85,3.67,43000,10
Japan,Phone,Electronics,711.74,498,79354.63,150,40000,125
Germany,Phone,Electronics,913.54,371,70861.97,0.92,52000,83
Canada,Phone,Electronics,786.03,603,32199.91,1.35,52000,38
India,Headphones,Accessories,135.58,796,31883.52,83,2500,1400
USA,Phone,Electronics,863.57,74,11639.19,1,70000,331
Canada,Headphones,Accessories,661.76,940,116612.43,1.35,52000,38
USA,Phone,Electronics,738.88,188,9139.97,1,70000,331
Australia,Smartwatch,Accessories,463.23,211,25606.84,1.5,55000,26
Brazil,Laptop,Electronics,768.26,720,60614.67,5.1,9000,213
Brazil,Phone,Electronics,228.53,726,25902.64,5.1,9000,213
Australia,Phone,Electronics,475.32,994,65929.98,1.5,55000,26
France,Smartwatch,Accessories,164.69,998,11194.71,0.92,45000,65
UK,Smartwatch,Accessories,874.65,778,69682.54,0.78,48000,67
UAE,Headphones,Accessories,505.92,292,35152.56,3.67,43000,10
Brazil,Headphones,Accessories,578.34,244,26176.21,5.1,9000,213
India,Laptop,Electronics,53.35,238,2504.4,83,2500,1400
Brazil,Tablet,Electronics,964.56,750,195594.29,5.1,9000,213
Australia,Phone,Electronics,704.74,507,47072.51,1.5,55000,26
Australia,Smartwatch,Accessories,340.96,753,44383.26,1.5,55000,26
France,Laptop,Electronics,150.7,675,26575.85,0.92,45000,65
Japan,Smartwatch,Accessories,308.94,682,42684.83,150,40000,125
Brazil,Headphones,Accessories,438.12,89,6810.97,5.1,9000,213
UK,Smartwatch,Accessories,304.06,174,3071.12,0.78,48000,67
UAE,Phone,Electronics,164.12,608,5089.83,3.67,43000,10
Canada,Laptop,Electronics,916.3,604,104356.1,1.35,52000,38
Germany,Headphones,Accessories,109.49,398,9481.53,0.92,52000,83
France,Laptop,Electronics,569.02,345,10429.18,0.92,45000,65
UK,Laptop,Electronics,356.84,357,18885.36,0.78,48000,67
Brazil,Headphones,Accessories,655.89,538,50792.63,5.1,9000,213
India,Phone,Electronics,154.44,415,3835.8,83,2500,1400
France,Phone,Electronics,273.76,520,14634.78,0.92,45000,65
Brazil,Headphones,Accessories,386.28,392,43501.1,5.1,9000,213
Japan,Tablet,Electronics,694.5,310,14758.94,150,40000,125
India,Tablet,Electronics,719.61,373,32393.88,83,2500,1400
France,Tablet,Electronics,744.84,450,43519.11,0.92,45000,65
France,Laptop,Electronics,93.43,661,18168.62,0.92,45000,65
Canada,Tablet,Electronics,685.77,212,8603.5,1.35,52000,38
Australia,Headphones,Accessories,520.36,782,39714.44,1.5,55000,26
UAE,Phone,Electronics,242.36,970,55952.86,3.67,43000,10
USA,Headphones,Accessories,314.76,304,22540.14,1,70000,331
Canada,Tablet,Electronics,177.69,755,17201.03,1.35,52000,38
Japan,Headphones,Accessories,71.6,431,5133.12,150,40000,125
Canada,Laptop,Electronics,992.36,168,36841.77,1.35,52000,38
UK,Laptop,Electronics,185.56,734,34106.17,0.78,48000,67
Brazil,Tablet,Electronics,712.61,127,17287.83,5.1,9000,213
Japan,Laptop,Electronics,323.4,213,12455.27,150,40000,125
Australia,Tablet,Electronics,450.36,152,19445.41,1.5,55000,26
Japan,Laptop,Electronics,634.61,249,14875.9,150,40000,125
Brazil,Phone,Electronics,680.05,219,23664.45,5.1,9000,213
Canada,Smartwatch,Accessories,471.92,409,16851.86,1.35,52000,38
Brazil,Headphones,Accessories,966.09,160,24155.28,5.1,9000,213
UK,Phone,Electronics,800.87,937,194818.43,0.78,48000,67
UK,Smartwatch,Accessories,583.27,240,12109.8,0.78,48000,67
UAE,Laptop,Electronics,593.34,239,8375.95,3.67,43000,10
India,Laptop,Electronics,99.35,967,19765.21,83,2500,1400
Australia,Headphones,Accessories,433.04,708,79929.19,1.5,55000,26
Canada,Smartwatch,Accessories,54.18,901,4153.47,1.35,52000,38
France,Phone,Electronics,107.82,967,16673.46,0.92,45000,65
USA,Headphones,Accessories,726.43,798,64638.85,1,70000,331
France,Phone,Electronics,881.49,534,38636,0.92,45000,65
USA,Phone,Electronics,297.98,420,26462.45,1,70000,331
UK,Headphones,Accessories,567.39,868,138014.9,0.78,48000,67
France,Headphones,Accessories,429.71,100,12174.43,0.92,45000,65
UAE,Laptop,Electronics,487.37,967,61012.44,3.67,43000,10
Japan,Phone,Electronics,981.83,267,42850.52,150,40000,125
UK,Tablet,Electronics,333.57,341,27616,0.78,48000,67
UK,Smartwatch,Accessories,423.2,860,69712.89,0.78,48000,67
UAE,Phone,Electronics,50.3,671,3920.63,3.67,43000,10
France,Smartwatch,Accessories,775.36,824,121681.58,0.92,45000,65
Australia,Headphones,Accessories,308.81,265,13751.34,1.5,55000,26
USA,Phone,Electronics,325.64,92,6628.83,1,70000,331
Australia,Headphones,Accessories,413.72,826,95832.77,1.5,55000,26
UAE,Smartwatch,Accessories,453.23,237,30951.06,3.67,43000,10
Brazil,Smartwatch,Accessories,369.94,201,14093.23,5.1,9000,213
Germany,Laptop,Electronics,660.03,265,12287.49,0.92,52000,83
Japan,Laptop,Electronics,151.8,335,13248.89,150,40000,125
France,Tablet,Electronics,327.09,971,55940.12,0.92,45000,65
Japan,Smartwatch,Accessories,368.17,973,40831.9,150,40000,125
UK,Tablet,Electronics,92.77,327,2366.77,0.78,48000,67
France,Headphones,Accessories,640.32,222,39526.85,0.92,45000,65
UAE,Headphones,Accessories,643.52,384,38505.55,3.67,43000,10
UAE,Headphones,Accessories,889.43,430,32754.1,3.67,43000,10
Australia,Tablet,Electronics,898.17,128,12008.46,1.5,55000,26
UAE,Headphones,Accessories,414.26,125,4040.96,3.67,43000,10
Germany,Tablet,Electronics,596.35,147,20823.45,0.92,52000,83
Japan,Headphones,Accessories,318.08,385,11650.41,150,40000,125
Canada,Laptop,Electronics,524.45,735,34770.93,1.35,52000,38
USA,Laptop,Electronics,60.86,263,3605.29,1,70000,331
France,Tablet,Electronics,142.22,566,4562.2,0.92,45000,65
UAE,Tablet,Electronics,277.55,401,17618.88,3.67,43000,10
Canada,Phone,Electronics,675.23,242,33343.29,1.35,52000,38
UK,Tablet,Electronics,873.15,971,88721.61,0.78,48000,67
France,Tablet,Electronics,971.04,104,17799.16,0.92,45000,65
Brazil,Phone,Electronics,941.59,161,17290.44,5.1,9000,213
Canada,Tablet,Electronics,652.1,966,116762.49,1.35,52000,38
USA,Phone,Electronics,87.42,423,9253.53,1,70000,331
India,Phone,Electronics,710.21,847,104206.85,83,2500,1400
USA,Phone,Electronics,192.84,366,18941.97,1,70000,331
France,Smartwatch,Accessories,81.63,142,3217.61,0.92,45000,65
Brazil,Laptop,Electronics,705.25,791,86548.03,5.1,9000,213
France,Smartwatch,Accessories,694.97,585,50111.94,0.92,45000,65
Germany,Smartwatch,Accessories,383.93,844,44669.29,0.92,52000,83
